"Name","Latitude","Longitude","MatchStatus","PlaceID","OsmID","Dist_m","Rating","UserRatingsTotal","URL","OpeningHours"
"มิตติ้งพอยต์คาเฟ่อมก๋อย Meeting point Cafe Omkoi",17.8078899,98.3640966,"google_only","ChIJ3-INZgCD3DARo7szZQsWwOc",NA,NA,4.7,3,NA,NA
"Nermu Coffee Omkoi",17.8113889,98.365053,"google_only","ChIJKV4zHLiD3DARrG0I3c71ofg",NA,NA,5,1,NA,NA
"คอฟฟี่คา",17.8219994,98.3214551,"google_only","ChIJ6e_HIQCD3DARYesMYwmW12w",NA,NA,NA,NA,NA,NA
"Yangpao cafe - ร้านกาแฟโรงเรียนบ้านยางเปา",17.8235562,98.3188457,"google_only","ChIJ70FzJvOD3DARB9nW-As8IzE",NA,NA,NA,NA,NA,NA
"Palmmoy Coffee and tea 2",17.8520745,98.747732,"google_only","ChIJUdG6FQCJ2zARUA6FcoyWDew",NA,NA,5,3,NA,NA
"วิวไร่คาเฟ่",17.8705597,98.3032062,"google_only","ChIJHSe-DF-d3DAR8f29zorLNd0",NA,NA,NA,NA,NA,NA
"ชารินคิณ Charinkin🧋",17.878812,98.7258851,"google_only","ChIJRRilMQCJ2zARjn7bBOd-E7Q",NA,NA,NA,NA,NA,NA
"The Doitao Coffee Rider",17.8852456,98.7262161,"google_only","ChIJ7RrAtLWJ2zART6TwPMNnDZo",NA,NA,4.8,4,NA,NA
"1000Mai cafe",17.891302,98.742084,"google_only","ChIJp4DmLACJ2zARulQMfwuRjZg",NA,NA,NA,NA,NA,NA
"1000 Mai Cafe",17.8913051,98.7420212,"google_only","ChIJ4WRoIwyH2zARv0RUtvIaIJQ",NA,NA,5,1,NA,NA
"ปั่นมั่ว",17.8921314,98.7423562,"google_only","ChIJlfjSq0uJ2zARGok29B2je7M",NA,NA,4.3,4,NA,NA
"PANMOUR (ปั่นมั่ว)",17.8922235,98.7422913,"google_only","ChIJOXsZV0uJ2zARAIOnpTXXn7Y",NA,NA,NA,NA,NA,NA
"กาแฟรักษ์ป่าอมก๋อย SOFT Coffee",17.90286859999999,98.4093009,"google_only","ChIJIaLRWnB_2zARwbcPmOM4N-c",NA,NA,5,22,NA,NA
"เก๊าเกี๊ยะ Cafe",17.9055907,98.4104728,"google_only","ChIJDWWvIg1_2zARtu4yiSpigUo",NA,NA,4.6,10,NA,NA
"กาแฟครูเกจ",17.9228975,98.7105697,"google_only","ChIJzRPgQzeJ2zAR9vJx1kLPr1A",NA,NA,3,2,NA,NA
