"osm_id","name","lon","lat","any_url","opening_hours"
"262581744",NA,98.4802782,18.552909,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"336237972","Starbucks",98.9936602,18.7880202,"https://www.starbucks.com/",NA
"773473207",NA,99.0099154,18.824278,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"773473208",NA,99.00992,18.8241548,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"773473209",NA,99.0100067,18.8241577,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"773473210",NA,99.0100021,18.8242809,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"773476915","Starbucks",99.0117513,18.8244136,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"822570109","Pordee",98.9964682,18.7843601,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip","Mo-Su 09:00-23:00"
"907784572","Swensen's",98.9622163,18.743048,"https://www.swensens1112.com/",NA
"907784576","Black Canyon Coffee",98.9618965,18.7431008,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"955952427","Hungry Crust",99.0162992,18.7837388,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"1006843145","Cafe de Thaan Aoan",98.988476,18.785469,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip","Mo-Su 07:00-20:00"
"1013055445",NA,98.9236397,18.9236457,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"1014351915","Friendly Coffee",98.9708977,18.80727,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"1058639339","Country Home",98.9136981,18.6683978,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"1074594027","Ember",98.9666709,18.7983603,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"1074595752","Mont Blanc",98.9668754,18.7981989,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip","Mo-Su 08:30-21:30"
"1074595753","Dolcetto' Cafe",98.96681,18.797998,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"1093720093","Coffee Time",99.0830053,18.766212,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"1101287698","Cafe de L'Amour",99.0006815,18.781053,"https://m.facebook.com/lamour.chiangmai","08:30-21:00"
"1101288715","Starbucks",99.0001185,18.783809,"https://www.starbucks.com/","Mo-Fr 06:30-23:00; Sa,Su 06:30-22:00"
"1107234875","Coffee Bull",98.987602,18.785574,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip","Mo-Sa 09:00-18:00"
"1127592858","Cofésta",98.967651,18.799596,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"1127593603","Doi Tung",98.9672331,18.8000098,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"1127593959","Starbucks",98.9667271,18.797599,"https://www.starbucks.com/",NA
"1129280654","Our House Coffee Shop",98.9934104,18.7945459,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"1133608908","Coffee Bar",98.991466,18.790996,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"1133610755","Lucky Coffee",98.9915237,18.7918715,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"1166342189","K-Coffee",99.0171738,18.8016645,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"1169723115",NA,98.8965319,18.838736,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"1173899407",NA,99.0058919,18.7681205,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"1173899412",NA,99.0057001,18.7682862,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"1173899486",NA,99.0062747,18.7685465,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"1314781606",NA,99.0415945,18.7738239,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"1361121238","Twin Cafe",99.0050204,18.7668657,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"1362733898",NA,99.2177374,18.8785845,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"1368674790","กาแฟปางขอน",98.9990002,18.7734848,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"1377321248","บ้านแยมโรล",99.0264403,18.7220388,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"1381345475","Café Amazon",99.0715326,18.7698664,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"1402454420",NA,99.0084868,18.7585973,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
