"tile_id","place_id","name","rating","user_ratings_total","status","GID_1","GID_0","COUNTRY","NAME_1","VARNAME_1","NL_NAME_1","TYPE_1","ENGTYPE_1","CC_1","HASC_1","ISO_1","lon","lat"
"15","ChIJOQCw1vwF2zARgc72X2VuJ4E","ร้านฮักกั๋นกาแฟสด",4.9,17,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.357768,17.7980291
"15","ChIJSTg3O6uD3DARIPmW9Bpquy0","ร้านกาแฟไก่ไข่ อมก๋อย",5,2,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.3571291,17.7989556
"15","ChIJp3q1dwCD3DAROxnLKN-9f9I","หน้าบ้านกาแฟสด",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.3581566,17.7980116
"15","ChIJrVYFHCqD3DARaCHInVS-o6k","บ้านนมชัยโชติ",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.3586672,17.79789539999999
"15","ChIJwS7i_F6D3DARoghgRCGlwUQ","กาแฟทีคี บ้านหลวง",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.3617986,17.79199
"15","ChIJDQQqiKGD3DARpIfCcf9vOuk","Omkoi Bean",4.3,12,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.35814160000001,17.7999149
"15","ChIJ52kkSaKD3DARx6m0lGe8MtU","BabyBoom Cafeine",3.5,4,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.3597874,17.8004042
"15","ChIJc0OlWaKD3DARydgnZJ_8Kbw","โฮงรถคาเฟ่",4.8,29,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.36065640000001,17.8000106
"15","ChIJq8l8dgB92zARSR9K_tfsiQs","หน้าบ้านป้าลี",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.36085039999999,17.799811299999998
"15","ChIJ0YpE7KKD3DARzg-utieQzQc","Coffee Cill",3.5,2,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.36178869999999,17.7996105
"15","ChIJ6SLgAKOD3DAR4GJ8aS32dzY","ณ อมก๋อย",4.6,9,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.3610571,17.8010191
"15","ChIJXfjU_6KD3DARAQ8yjxDLKo8","เฮือนข้าวแฟ",4.2,19,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.3613756,17.8006094
"15","ChIJSezUZQCD3DARbU7QdtjH9UU","ร้านกาแฟอมก๋อยบีนส์ Omkoi beans",5,2,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.3624121,17.799066
"15","ChIJtTFodgCD3DARNW7EZHEH4F0","บ้านยายคาเฟ่",5,1,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.36307509999999,17.7994663
"15","ChIJfZGKKUWD3DARJ-Ngths5AN0","ร้านกาแฟฮิมดง",3.8,4,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.3656977,17.7984352
"15","ChIJk1dFr3qD3DARi9ghj06ASxg","Good morning omkoi",4.7,70,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.36368139999999,17.8049515
