"match_status","place_id","osm_id","dist_m","name","lat","lon","rating","user_ratings_total","any_url","opening_hours"
"osm_only",NA,"5168562824",NA,NA,18.7821642,99.0030881,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5170882679",NA,NA,18.6888234,98.952845,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5170882680",NA,NA,18.6888069,98.9530086,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5170882681",NA,NA,18.6888772,98.9530165,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5170882682",NA,NA,18.6888937,98.9528529,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5185937222",NA,"Coffee Point Changmai",18.7810716,98.9960661,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5192931721",NA,NA,18.7922084,98.9909934,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip","Mo-Su 08:00-17:00"
"osm_only",NA,"5195686872",NA,"Ducky Coffee",18.8961494,99.0434185,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5201216548",NA,"Fieow Coffee Room",18.7547329,99.0085946,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip","Mo-Sa 09:00-17:00"
"osm_only",NA,"5203532422",NA,"Bistro Terrace",18.7868302,98.9821684,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
