"Name","Latitude","Longitude","MatchStatus","PlaceID","OsmID","Dist_m","Rating","UserRatingsTotal","URL","OpeningHours"
"Hana Garden แม่ริม",18.9216321,98.954836,"google_only","ChIJqf3Umow92jAReHy1Zn5_Fpc",NA,NA,4.9,63,NA,NA
"Shooter cafe",18.9216326,98.9233446,"google_only","ChIJQzwqMfM_2jARbsGhq2UafSY",NA,NA,5,4,NA,NA
"บ้านสวนไผ่ริมธาร",18.9216919,99.0373563,"google_only","ChIJE1rYyyMj2jARgIvNT3IVpRk",NA,NA,5,1,NA,NA
"ยวงคำคอฟฟี่",18.9217756,99.3331985,"google_only","ChIJGXobBnqN2TARcCgb39myUo8",NA,NA,5,1,NA,NA
"ร้านข้าวมันไก่หลังมอแม่โจ้",18.9219565,99.0293223,"google_only","ChIJ5ZL08aAj2jARrmqStwj3c5I",NA,NA,5,1,NA,NA
"Pimnaree Cafe & Thai Desserts",18.9222572,98.961511,"google_only","ChIJMTKCEts72jARFImMrlwhJRE",NA,NA,4.9,20,NA,NA
"ROUTE 108 Cafe",18.9224041,99.3196781,"google_only","ChIJpRv-MK6N2TARKJ_mcwjmBwg",NA,NA,4.3,12,NA,NA
"Victory​ coffee",18.9224625,99.3253533,"google_only","ChIJpwuYL3iN2TARLBoVP7JhCx4",NA,NA,NA,NA,NA,NA
"โรงคั่วกาแฟ P A N G H A I COFFEE ROASTER",18.9224666,99.3334884,"google_only","ChIJYSsLVIaN2TAR_oKJpEJD0Zk",NA,NA,4.8,46,NA,NA
"So Chill Coffee",18.9225365,99.3283692,"google_only","ChIJU107GByN2TARkJlnP698wd8",NA,NA,4.6,147,NA,NA
"Aan Cafe & Stay",18.9226919,99.327994,"google_only","ChIJm-1BgvCN2TARjzuy8BLq9Jw",NA,NA,4.9,21,NA,NA
"goodvibes weather cafe",18.9227275,99.3279571,"google_only","ChIJ49aYCtGN2TAR52FNd4i7NrA",NA,NA,4.5,78,NA,NA
"Nup Tang Coffee",18.9228185,99.3339559,"google_only","ChIJA0Dw_xmN2TARVg5vbtE8QP0",NA,NA,4.5,2,NA,NA
"บ้านกาแฟสดเพชรกะภูมิ",18.9232332,98.982365,"google_only","ChIJN59vVgA92jARK9VI1hVoBiM",NA,NA,NA,NA,NA,NA
"Pi_MON Coffee",18.92377919999999,98.9814062,"google_only","ChIJO4GFfAA92jAR0U6nYTaJPBE",NA,NA,5,9,NA,NA
"Nacha Coffee Farm",18.9237945,99.3512611,"google_only","ChIJb1tvj5mN2TARlvPG6bKOxZM",NA,NA,4.7,3,NA,NA
"ภาคินกาแฟสด",18.9243228,99.0276368,"google_only","ChIJXSN2PWkj2jARKI7fU_BfW5M",NA,NA,4.8,6,NA,NA
"rs-coffee กาแฟเทพเสด็จ",18.9244464,99.3349883,"google_only","ChIJ_7EqaheN2TARP4jrDiAySjc",NA,NA,4.5,48,NA,NA
"Active coffee & Bar",18.9246193,99.0326332,"google_only","ChIJaYr92z0j2jAR5TIH32fA5OU",NA,NA,4.5,4,NA,NA
"Tiger Kingdom",18.9246445,98.9320317,"google_only","ChIJRSms1yw82jAR-BUQOxaziAk",NA,NA,4,5933,NA,NA
"Red Rose Cafe",18.9246611,99.0326395,"google_only","ChIJnzYcXwAj2jAREVCFPktmZqc",NA,NA,5,2,NA,NA
