Name,Latitude,Longitude,MatchStatus,PlaceID,OsmID,Dist_m,Rating,UserRatingsTotal,URL,OpeningHours
Coffee Witch's House,19.2181948,98.6705737,matched,ChIJt1erMX1w2jAR_j9Q6BfLpcs,1819858250,15.343086448718093,4.3,896,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Maple Coffee,19.8050944,99.1686494,matched,ChIJoRuCWjfL0DARksP1dcC4ujA,1985325612,34.79005799395955,4.5,67,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Baan Suan Café,18.7595844,98.91374890000002,matched,ChIJOWUj8zc32jARxfHJqcWe6fk,2005925281,17.897043363384235,4.4,1747,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,Mo-Su 08:00-17:00
Praw & Plean Green House Cafe,18.7602255,98.9048877,matched,ChIJFVbt5NMw2jARkOp_qFM6_OU,2005925282,32.244374655952605,4.6,140,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Café Amazon,20.0271216,99.2851052,matched,ChIJXZbjxu0p1zARkMYXma3pe8M,2074584720,34.22141345280564,2.8,10,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Hom Nual cafe,19.1919814,98.95876,matched,ChIJgSb-m08O2jARi4wmrqbpVb4,2183806667,15.707578066771628,4.4,67,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
DoiMek Café | ร้านกาแฟดอยเมฆ,19.4556889,98.9646979,matched,ChIJe3oKRzKk0DAR8fbE1cURugg,2195684384,9.596396145528214,4.3,82,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Coffee House,18.856599,99.0998838,matched,ChIJyf_9M8En2jARwK5BAAk2K0Q,2417600317,2.8453990346717433,4.4,108,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
กาแฟออร์แกนิค Black Wanila Organic Coffee,18.802128,98.9502997,matched,ChIJBwpB_KQ62jARNmufGmPWDnA,2434791784,25.192530324114735,4.3,28,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Chiang Dao in Love,19.473164,98.96169,matched,ChIJLTXt7k6k0DART7N7bSbAbFM,2521984652,12.389168929244324,4.1,152,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Larn-Ya Coffee And Restaurant,18.9171053,98.9973481,matched,ChIJ7Rl9RNk82jARHmN08xWvpV8,2582060112,35.74498067889947,4.3,6,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Omkoi Bean,17.7999149,98.3581416,matched,ChIJDQQqiKGD3DARpIfCcf9vOuk,2617030206,33.54603429543042,4.3,12,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Mae Naree Coffee ผาแดง,17.6980641,98.2418463,matched,ChIJkWzGdRSb3DARK6nlniLZlLw,2618521973,48.735988999371486,NA,NA,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
U-noka,18.7990384,99.2422169,matched,ChIJPdoAdPGI2TARwewZv50r-sA,2631763471,5.672710354261039,4.5,51,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Coffee terminal,18.8925991,99.1724624,matched,ChIJyWASNZQg2jARp3meg5HtHU0,2641942618,6.739153729556565,4.5,255,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,Mo-Su 07:30-17:00
Kampong Coffee,18.8657494,99.3535463,matched,ChIJWUi5_-SN2TARgfCLtwBieg0,2642156470,4.1685891150980385,4.4,30,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Doi Chaang Coffee,18.78683149999999,98.9987306,matched,ChIJj13gLaQ62jARVVf_alEiaHY,2655153486,14.985592177309346,4.5,89,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Intanon Coffee,18.5836705,98.8852594,matched,ChIJC0fnzjLL2zAR4L6898jbSy0,2684247512,8.767832214755973,4.5,129,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
อาหารอิสลาม และบ้านพัก ทับอุสา,18.9622737,98.9139384,matched,ChIJmxlakOw92jARe8U0VYVFoW8,2773248344,22.648103617577718,4.6,14,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
SONG SEAN COFFEE,18.8119654,98.8846745,matched,ChIJwSmqy4c52jARqJOU8KwguEI,3046913649,8.316580224937827,4.7,110,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
BAAN KAFÉ at Doi Inthanon,18.5879764,98.4862224,matched,ChIJ2U2NdUmr2zARF3rgY3Sj350,3081257253,9.378473218294776,4.8,41,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Dunkin Tea,19.0827163,98.9367424,matched,ChIJD3kZVgAR2jARvIvshzxa2QQ,3107256389,17.74566474542965,5,4,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Café Amazon,18.80612,99.0176736,matched,ChIJe46QMjQl2jARFdaSdpnH_iM,3116053111,41.415730642206434,4.1,247,https://www.starbucks.com/,NA
Café Amazon,18.6713211,98.8878131,matched,ChIJjfcq9zY02jARNZZA6-MN0S8,3121493939,8.445484204922282,4.2,281,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Cafe 1971,18.642391,98.84696900000002,matched,ChIJCYdW2Xk12jARhV0DOQMu3es,3121493974,6.218832925040415,4.5,17,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
ร้านเฮือนโบราณ,18.687905,98.9471982,matched,ChIJqcVD5d8z2jAR2FHZhrRrP08,3174251462,6.720004281712441,4.2,15,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
The Baristro at Jingjai Market,18.8078742,98.9950529,matched,ChIJ1zIrPcE62jARLmFY_rZZmDk,3195504333,12.373460845389921,4.7,447,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Maajoy cafe,18.8065128,98.9645953,matched,ChIJKYxjPl462jARiqAyRG_R3jQ,3221309062,23.609432560089125,4.8,25,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Maple Coffee,18.4919155,98.6720787,matched,ChIJH32YEIyx2zARHA2gxpXnvmc,3235711895,6.659041473541876,4.4,30,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Black Canyon @ SuanDok Hospital,18.7894562,98.9705463,matched,ChIJwziLL4Q62jARzPUlyEAkB34,3242156461,14.924053290276836,3.9,71,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,Mo-Su 07:00-20:00
StarWork Chiangmai,18.7963759,99.0164451,matched,ChIJy8X8b0wl2jARx4OZOpCGXTc,3242156462,36.50281662789237,4.8,130,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Merle brew,18.9565537,98.8050555,matched,ChIJ88iVvW5B2jAR0XTLbS00WSU,3247403107,13.35789721480838,5,13,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Oui Kaew Coffee อุ้ยแก้วกาแฟ,18.8523299,98.7328733,matched,ChIJu94bZvdE2jAR9E703rOoWMc,3247431556,20.14010747114966,4.6,179,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Roastniyom Coffee - Esso Chang Phueak,18.8367546,98.9754093,matched,ChIJ0TTiNwQ72jARo_nDuUpgr5o,3322713453,6.19993050161941,4.3,102,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Café Woodhouse at S*Trips,18.7809405,99.0002244,matched,ChIJhdKwjac62jARWD-k6KzmOR4,3326560622,22.795816586452496,3,2,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
ปางไฮคอฟฟี่ช็อป Panghai coffee shop,18.921977,99.3294062,matched,ChIJXQqU7huN2TARzVgmO6vnXzM,3329625277,23.591911191068696,4.4,364,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
My Secret Cafe,18.8562225,98.9869203,matched,ChIJtzAhwWs72jARkN3s2XtZT7E,3340956813,16.029510858696803,4.4,32,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,Tu-Su 10:30-17:00
Café Amazon,18.8755508,99.0147355,matched,ChIJRSTdDFUj2jARXvQsb5p29wM,3340982844,7.63975612518899,4.6,116,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Chill Chill Cup,18.9124254,98.9377168,matched,ChIJXcGThDo82jAR6dUakFPqjKg,3341012238,9.15399048624377,4.6,8,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Coffee World - Central Chiangmai (Common Area),18.7694951,98.9754133,matched,ChIJJ__HuGQw2jAREu9d7xaiCBQ,3347631779,12.223095203697568,4.1,61,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,"Mo-Fr 11:00-2:00; Sa,Su 10:00-21:00"
Starbucks,18.7697824,98.975176,matched,ChIJM80_8F4w2jARgnfpHDFEfig,3347633205,3.2664575078500766,4.3,416,www.starbuckscard.in.th,"Mo-Fr 11:00-21:00; Sa,Su 10:00-21:00"
