Name,Latitude,Longitude,MatchStatus,PlaceID,OsmID,Dist_m,Rating,UserRatingsTotal,URL,OpeningHours
Starbucks,18.7880202,98.9936602,osm_only,NA,336237972,NA,NA,NA,https://www.starbucks.com/,NA
NA,18.824278,99.0099154,osm_only,NA,773473207,NA,NA,NA,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
NA,18.8241548,99.00992,osm_only,NA,773473208,NA,NA,NA,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
NA,18.8241577,99.0100067,osm_only,NA,773473209,NA,NA,NA,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
NA,18.8242809,99.0100021,osm_only,NA,773473210,NA,NA,NA,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Starbucks,18.8244136,99.0117513,osm_only,NA,773476915,NA,NA,NA,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Pordee,18.7843601,98.9964682,osm_only,NA,822570109,NA,NA,NA,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,Mo-Su 09:00-23:00
Swensen's,18.743048,98.9622163,osm_only,NA,907784572,NA,NA,NA,https://www.swensens1112.com/,NA
Black Canyon Coffee,18.7431008,98.9618965,osm_only,NA,907784576,NA,NA,NA,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Hungry Crust,18.7837388,99.0162992,osm_only,NA,955952427,NA,NA,NA,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Cafe de Thaan Aoan,18.785469,98.988476,osm_only,NA,1006843145,NA,NA,NA,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,Mo-Su 07:00-20:00
NA,18.9236457,98.9236397,osm_only,NA,1013055445,NA,NA,NA,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Friendly Coffee,18.80727,98.9708977,osm_only,NA,1014351915,NA,NA,NA,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Ember,18.7983603,98.9666709,osm_only,NA,1074594027,NA,NA,NA,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
